addr,x,y,hex
0,0,0,E0
1,1,0,E0
2,2,0,E0
3,3,0,E0
4,4,0,E0
5,5,0,E0
6,6,0,E0
7,7,0,E0
8,8,0,E0
9,9,0,E0
10,10,0,E0
11,11,0,E0
12,12,0,E0
13,13,0,E0
14,14,0,E0
15,15,0,E0
16,16,0,E0
17,17,0,E0
18,18,0,E0
19,19,0,E0
20,20,0,E0
21,21,0,E0
22,22,0,E0
23,23,0,E0
24,24,0,E0
25,25,0,E0
26,26,0,E0
27,27,0,E0
28,28,0,E0
29,29,0,E0
30,30,0,E0
31,31,0,E0
32,32,0,E0
33,33,0,E0
34,34,0,E0
35,35,0,E0
36,36,0,E0
37,37,0,E0
38,38,0,E0
39,39,0,E0
40,40,0,E0
41,41,0,E0
42,42,0,E0
43,43,0,E0
44,44,0,E0
45,45,0,E0
46,46,0,E0
47,47,0,E0
48,48,0,E0
49,49,0,E0
50,50,0,E0
51,51,0,E0
52,52,0,E0
53,53,0,E0
54,54,0,E0
55,55,0,E0
56,56,0,E0
57,57,0,E0
58,58,0,E0
59,59,0,E0
60,60,0,E0
61,61,0,E0
62,62,0,E0
63,63,0,E0
64,64,0,E0
65,65,0,E0
66,66,0,E0
67,67,0,E0
68,68,0,E0
69,69,0,E0
70,70,0,E0
71,71,0,E0
72,72,0,E0
73,73,0,E0
74,74,0,E0
75,75,0,E0
76,76,0,E0
77,77,0,E0
78,78,0,E0
79,79,0,E0
80,80,0,E0
81,81,0,E0
82,82,0,E0
83,83,0,E0
84,84,0,E0
85,85,0,E0
86,86,0,E0
87,87,0,E0
88,88,0,E0
89,89,0,E0
90,90,0,E0
91,91,0,E0
92,92,0,E0
93,93,0,E0
94,94,0,E0
95,95,0,E0
96,96,0,E0
97,97,0,E0
98,98,0,E0
99,99,0,E0
100,100,0,E0
101,101,0,E0
102,102,0,E0
103,103,0,E0
104,104,0,E0
105,105,0,E0
106,106,0,E0
107,107,0,E0
108,108,0,E0
109,109,0,E0
110,110,0,E0
111,111,0,E0
112,112,0,E0
113,113,0,E0
114,114,0,E0
115,115,0,E0
116,116,0,E0
117,117,0,E0
118,118,0,E0
119,119,0,E0
120,120,0,E0
121,121,0,E0
122,122,0,E0
123,123,0,E0
124,124,0,E0
125,125,0,E0
126,126,0,E0
127,127,0,E0
128,128,0,E0
129,129,0,E0
130,130,0,E0
131,131,0,E0
132,132,0,E0
133,133,0,E0
134,134,0,E0
135,135,0,E0
136,136,0,E0
137,137,0,E0
138,138,0,E0
139,139,0,E0
140,140,0,E0
141,141,0,E0
142,142,0,E0
143,143,0,E0
144,144,0,E0
145,145,0,E0
146,146,0,E0
147,147,0,E0
148,148,0,E0
149,149,0,E0
150,150,0,E0
151,151,0,E0
152,152,0,E0
153,153,0,E0
154,154,0,E0
155,155,0,E0
156,156,0,E0
157,157,0,E0
158,158,0,E0
159,159,0,E0
160,0,1,E0
161,1,1,E0
162,2,1,E0
163,3,1,E0
164,4,1,E0
165,5,1,E0
166,6,1,E0
167,7,1,E0
168,8,1,E0
169,9,1,E0
170,10,1,E0
171,11,1,E0
172,12,1,E0
173,13,1,E0
174,14,1,E0
175,15,1,E0
176,16,1,E0
177,17,1,E0
178,18,1,E0
179,19,1,E0
180,20,1,E0
181,21,1,E0
182,22,1,E0
183,23,1,E0
184,24,1,E0
185,25,1,E0
186,26,1,E0
187,27,1,E0
188,28,1,E0
189,29,1,E0
190,30,1,E0
191,31,1,E0
192,32,1,E0
193,33,1,E0
194,34,1,E0
195,35,1,E0
196,36,1,E0
197,37,1,E0
198,38,1,E0
199,39,1,E0
200,40,1,E0
201,41,1,E0
202,42,1,E0
203,43,1,E0
204,44,1,E0
205,45,1,E0
206,46,1,E0
207,47,1,E0
208,48,1,E0
209,49,1,E0
210,50,1,E0
211,51,1,E0
212,52,1,E0
213,53,1,E0
214,54,1,E0
215,55,1,E0
216,56,1,E0
217,57,1,E0
218,58,1,E0
219,59,1,E0
220,60,1,E0
221,61,1,E0
222,62,1,E0
223,63,1,E0
224,64,1,E0
225,65,1,E0
226,66,1,E0
227,67,1,E0
228,68,1,E0
229,69,1,E0
230,70,1,E0
231,71,1,E0
232,72,1,E0
233,73,1,E0
234,74,1,E0
235,75,1,E0
236,76,1,E0
237,77,1,E0
238,78,1,E0
239,79,1,E0
240,80,1,E0
241,81,1,E0
242,82,1,E0
243,83,1,E0
244,84,1,E0
245,85,1,E0
246,86,1,E0
247,87,1,E0
248,88,1,E0
249,89,1,E0
250,90,1,E0
251,91,1,E0
252,92,1,E0
253,93,1,E0
254,94,1,E0
255,95,1,E0
256,96,1,E0
257,97,1,E0
258,98,1,E0
259,99,1,E0
260,100,1,E0
261,101,1,E0
262,102,1,E0
263,103,1,E0
264,104,1,E0
265,105,1,E0
266,106,1,E0
267,107,1,E0
268,108,1,E0
269,109,1,E0
270,110,1,E0
271,111,1,E0
272,112,1,E0
273,113,1,E0
274,114,1,E0
275,115,1,E0
276,116,1,E0
277,117,1,E0
278,118,1,E0
279,119,1,E0
280,120,1,E0
281,121,1,E0
282,122,1,E0
283,123,1,E0
284,124,1,E0
285,125,1,E0
286,126,1,E0
287,127,1,E0
288,128,1,E0
289,129,1,E0
290,130,1,E0
291,131,1,E0
292,132,1,E0
293,133,1,E0
294,134,1,E0
295,135,1,E0
296,136,1,E0
297,137,1,E0
298,138,1,E0
299,139,1,E0
300,140,1,E0
301,141,1,E0
302,142,1,E0
303,143,1,E0
304,144,1,E0
305,145,1,E0
306,146,1,E0
307,147,1,E0
308,148,1,E0
309,149,1,E0
310,150,1,E0
311,151,1,E0
312,152,1,E0
313,153,1,E0
314,154,1,E0
315,155,1,E0
316,156,1,E0
317,157,1,E0
318,158,1,E0
319,159,1,E0
320,0,2,E0
321,1,2,E0
322,2,2,E0
323,3,2,E0
324,4,2,E0
325,5,2,E0
326,6,2,E0
327,7,2,E0
328,8,2,E0
329,9,2,E0
330,10,2,E0
331,11,2,E0
332,12,2,E0
333,13,2,E0
334,14,2,E0
335,15,2,E0
336,16,2,E0
337,17,2,E0
338,18,2,E0
339,19,2,E0
340,20,2,E0
341,21,2,E0
342,22,2,E0
343,23,2,E0
344,24,2,E0
345,25,2,E0
346,26,2,E0
347,27,2,E0
348,28,2,E0
349,29,2,E0
350,30,2,E0
351,31,2,E0
352,32,2,E0
353,33,2,E0
354,34,2,E0
355,35,2,E0
356,36,2,E0
357,37,2,E0
358,38,2,E0
359,39,2,E0
360,40,2,E0
361,41,2,E0
362,42,2,E0
363,43,2,E0
364,44,2,E0
365,45,2,E0
366,46,2,E0
367,47,2,E0
368,48,2,E0
369,49,2,E0
370,50,2,E0
371,51,2,E0
372,52,2,E0
373,53,2,E0
374,54,2,E0
375,55,2,E0
376,56,2,E0
377,57,2,E0
378,58,2,E0
379,59,2,E0
380,60,2,E0
381,61,2,E0
